Title,ISBN,Author,Publisher_Place,Edition_Statement,Type_of_Material,Physical_Medium,Physical_Description,Subject
Basanar zue pora hia,NA,"Bora, Narendra Nath","Guwahati, [s.n.], 2001",1st ed,Textual Document,Paper,240p,Assamese Novel
Jonak nachil banat,NA,"Bora, Dimbeswar","Guwahati, Kamakhya Book Stall, 1971",1st ed,Textual Document,Paper,106p,Assamese literature
Pragyar sadhana,NA,"Borgohain, Homen","Guwahati, Student Stores, 1995",1st ed,Textual Document,Paper,165p,Assamese literature
Asomiya Natak Parampara,NA,"Rajbongshi, Poramananda","Guwahati, Chandra prakashan, 1995",1st ed,Textual Document,Paper,170p,Assamese Drama
Sahityarathi Gohai Baruah,NA,"Sharma, Sashi","Nalbari, Granthapeeth, 1971",1st ed,Textual Document,Paper,166p,Assamese literature; Biography
Samay aru ami,81-7331-07x,"Sharma, Satyabrat","Guwahati, K N DuttaBaruah, Lawyer's Book Stall, 1994",1st ed,Textual Document,Paper,211p,Assamese literature; Time; Time management
Moi,81-85905-88-6,"Barua, Nabakanta","Guwahati, Student Stores, 1994",1st ed,Textual Document,Paper,159p,Assamese literature; Novel
Satabdir Sadhu,81-85905-88-6,"Gogoi, Sarna Baruah","Jorhat, Sodou Asom lekhika Samaroh Samiti, 2000",1st ed,Textual Document,Paper,416p,Assamese literature; Short story
Prabandhawali,81-85905-88-6,"Bora, Lilawati Saikia","Guwahati, Asamiya Sahitya Chara,G.U, 1999",1st ed,Textual Document,Paper,195p,Assamese literature
Kumjelukar chikmikani,81-85905-88-6,"Choudhury, Nirod","Guwahati, Bani Mandir, 1995",1st ed,Textual Document,Paper,60p,Assamese literature; Novel
Asamiya Sahityar buranji,81-85905-88-6,"Goswami, Profulladutta","Guwahati, Anandaram Barua bhasa-kala sanskriti sanstha, 1993",1st ed,Textual Document,Paper,700p,Assamese literature; Literary history
Antardristi,81-85905-88-6,"Duarah, Kalpona",Publisher & Place :,1st ed,Textual Document,Paper,410p,Assamese literature; Essays
Gowalporira Loka Sahitya,81-85905-88-6,"Nath, Dwijen","Pathsala, Bani Prakash, 1977",1st ed,Textual Document,Paper,256P,Assamese literature; Folk literature
Biplabar gan,81-85905-88-6,Author :,"Nalbari, Lakhimi printers, 1990",1st ed,Textual Document,Paper,370p,Assamese literature; Novel
Sanskrit Sahityat Asom Prasanga : aru ananya probandha,81-85905-88-6,"Misra, Harekrishna","Borpera, Joykrishna Prakashan, 1988",1st ed,Textual Document,Paper,79p,Assamese literature; Sanskrit Literature
